month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,ID,target
11,27000,6,61,female,Secondary special education,Clothing,0,2,21000,Another,0,0,1506,0
2,34000,6,41,female,Secondary special education,Cell phones,1,2,26000,Married,1,1,157,1
5,28000,12,59,male,Secondary special education,Construction Materials,1,2,16000,Another,1,0,607,0
5,10000,6,23,female,Secondary special education,Household appliances,1,2,76000,Another,0,1,636,0
7,8000,6,31,female,Secondary special education,Household appliances,0,2,31000,Another,1,1,857,0
1,24000,12,37,male,Higher education,Household appliances,0,1,41000,Another,1,0,51,0
6,21000,6,29,female,Secondary special education,Household appliances,0,0,41000,Another,1,1,695,0
10,42500,12,79,male,Higher education,Clothing,0,2,19000,Married,1,1,1380,0
6,39500,24,36,male,Higher education,Household appliances,1,2,30000,Married,1,1,794,1
1,40500,9,45,male,Secondary special education,Cosmetics and beauty services,1,0,31000,Married,2,1,45,0
7,12500,12,37,male,Secondary special education,Cell phones,1,2,16000,Another,2,1,947,0
6,13000,3,21,male,Incomplete higher education,Household appliances,0,0,43000,Another,1,1,741,0
9,7500,6,58,male,Secondary special education,Clothing,1,2,19000,Another,3,1,1192,0
2,54000,3,45,male,Higher education,Household appliances,0,2,101000,Married,3,1,180,0
5,13000,6,27,female,Secondary special education,Household appliances,0,0,31000,Another,3,0,662,0
7,10500,6,19,male,Secondary special education,Cell phones,0,0,21000,Another,0,1,858,0
3,5000,12,38,female,Secondary special education,Cell phones,1,2,31000,Another,2,0,426,0
6,12500,5,23,female,Secondary special education,Cell phones,0,2,34000,Another,2,1,763,0
3,27000,6,42,male,Secondary special education,Furniture,1,2,16000,Another,1,1,295,0
8,54500,12,29,female,Secondary special education,Construction Materials,0,2,56000,Another,0,0,1065,1
1,19500,24,23,male,Higher education,Household appliances,0,2,28000,Another,2,1,103,0
9,17000,11,23,female,Secondary special education,Household appliances,1,2,31000,Another,1,1,1110,0
9,13000,3,30,male,Secondary special education,Computers,1,2,13000,Married,0,1,1196,0
7,34500,10,36,male,Higher education,Tourism,1,2,41000,Another,0,1,819,0
5,17000,5,47,male,Secondary special education,Windows & Doors,1,2,13000,Another,2,1,615,0
10,11500,10,30,female,Incomplete higher education,Cell phones,1,1,26000,Unmarried,0,0,1358,0
8,34000,16,28,female,Secondary special education,Cell phones,0,2,41000,Another,1,1,1074,1
2,33000,12,35,male,Secondary education,Cell phones,1,2,26000,Married,1,0,168,1
